term; definition
Tertiary protein structure;"3D folded structure held by hydrogen, ionic bonds, and disulphide bridges."
Quaternary protein structure;"Proteins with more than one polypeptide chain (e.g. haemoglobin)."
Globular proteins;"Soluble, specific 3D shape, e.g. enzymes, antibodies."
Fibrous proteins;"Insoluble, strong, e.g. collagen, keratin."
Protein test;"Biuret solution turns purple if protein is present."
Protein functions;"Enzymes, antibodies, transport, structural roles."
Enzyme;"Protein acting as biological catalyst."
Catalyst;"Speeds up reactions without being consumed."
Activation energy;"Energy needed for a reaction; enzymes lower it."
Enzyme specificity;"Due to tertiary structure and active site shape matching substrate."
Induced fit model;"Active site changes shape to fit substrate, forming enzyme substrate complex."
Lock and key model;"Active site shape is rigid and exactly complementary to substrate."
Factors affecting enzyme rate;"Temperature, pH, substrate concentration, enzyme concentration, inhibitors."
Effect of substrate concentration;"Increases rate until saturation."
Effect of enzyme concentration;"Increases rate until substrate runs out."
Effect of temperature;"Increases rate to optimum; above optimum enzyme denatures."
Effect of low temperature;"Reduced kinetic energy, fewer collisions."
Effect of pH;"Small changes affect charges and binding; large changes denature enzyme."
Competitive inhibitor;"A substance with a SIMILAR shape to the substrate and a complementary shape to the enzyme's active site."
Competitive inhibitor action;"Competes for and binds to the active site."
Effect of competitive inhibitor;"Fewer enzyme substrate complexes form."
Overcoming competitive inhibition;"Can be overcome by increasing the substrate concentration."
Non competitive inhibitor;"A substance that binds to a site on the enzyme other than the active site (allosteric site)."
Non competitive inhibitor action;"Causes the active site to change shape."
Effect of non competitive inhibitor;"Substrate can no longer bind to the active site."
Effect on enzyme substrate complexes;"Fewer enzyme substrate complexes form."
Effect on reaction rate (non competitive inhibitor);"Decreases the rate of reaction."
Overcoming non competitive inhibition;"CANNOT be overcome by increasing substrate concentration."
Calculating initial rate of reaction;"1. Draw a tangent to the curve and calculate the gradient of the tangent."
Gradient calculation;"2. Gradient = change in y axis / change in x axis."
Rate expression;"3. Rate is expressed per unit time."
Monomers of DNA/RNA;"Nucleotides."
Nucleic acids;"Polymers made from nucleotides."
Types of nucleic acids;"DNA and RNA."
Components of nucleotides;"1. Pentose sugar 2. Nitrogenous base 3. Phosphate group."
Note on nucleotide components;"Write pentose sugar, not deoxyribose or ribose, unless specific to DNA or RNA."
Pentose sugar in DNA;"Deoxyribose."
Pentose sugar in RNA;"Ribose."
DNA nucleotide bases;"Adenine, guanine, cytosine, thymine."
RNA nucleotide bases;"Adenine, guanine, cytosine, uracil."
Nucleotide joining;"Joined by phosphodiester bonds formed by condensation between phosphate and pentose sugar."
DNA structure;"Polymer of nucleotides; each nucleotide formed from deoxyribose, nitrogenous base, and phosphate group."
DNA nucleotide bonds;"Nucleotides joined by phosphodiester bonds."
DNA strands bonding;"Two strands joined by hydrogen bonding between bases."
Complementary base pairing;"Each base pairs with one specific base: A pairs with T, C pairs with G."
Hydrogen bonds in DNA;"2 hydrogen bonds form between A and T; 3 hydrogen bonds form between C and G."
DNA strands orientation;"Two strands are antiparallel."
DNA shape;"Strands twist to form a double helix."
DNA structure related to function;"Double stranded -> templates for semi conservative replication."
Complementary base pairing function;"Allows accurate replication."
Hydrogen bonds function;"Weak bonds allow unzipping; many bonds provide stability."
Sugar phosphate backbone;"Protects bases and hydrogen bonds from damage."
DNA length;"Long molecule allows lots of genetic information storage."
Double helix compactness;"Compact structure."
DNA stability features;"Large numbers of hydrogen bonds between strands and protection from double helix structure."
RNA structure;"Polymer of nucleotides; single stranded; pentose sugar is ribose; bases are adenine, guanine, cytosine, uracil."
Differences between DNA and RNA;"1. DNA double stranded, RNA single stranded; 2. DNA has deoxyribose, RNA ribose; 3. DNA has thymine, RNA uracil."
Universal DNA replication method;"Semi conservative DNA replication."
Why semi conservative;"Half of new strands in each DNA molecule are from original DNA."
DNA features for replication;"Easily broken hydrogen bonds; double stranded for templates; complementary base pairing."
Difference conservative vs non conservative;"Conservative: one molecule original, one new; Semi conservative: each has one original and one new strand."
Evidence for semi conservative replication;"Meselson and Stahl experiment using 15N and 14N isotopes showed intermediate density DNA after replication."
Specific base pairing;"Each base pairs only with one specific base, e.g. A with T, C with G."
Importance of specific base pairing;"Enables identical copies of DNA with same base sequence."
Semi conservative replication process;"1. DNA helicase breaks hydrogen bonds; 2. DNA unzips; 3. Both strands used as templates; 4. Free nucleotides pair complementarily; 5. DNA polymerase joins nucleotides; 6. Hydrogen bonds form; 7. Strand twists into double helix."
ATP structure;"Ribose, adenine and three phosphate groups."
Enzyme catalysing ATP hydrolysis;"ATP hydrolase."
ATP hydrolysis equation;"ATP + H2O -> ADP + Pi."
ATP resynthesis;"Condensation between ADP and Pi catalysed by ATP synthase."
ATP resynthesis equation;"ADP + Pi -> ATP + H2O."
ATP properties making it suitable;"1. Energy released in small amounts; 2. Soluble; 3. Single reaction allows rapid energy release."
Why ATP is immediate energy source;"Releases energy rapidly in a single step directly transferred."
ATP vs glucose energy release;"ATP releases less energy per molecule but in manageable, rapid steps; glucose breakdown is slower."
ATP in enzyme reactions;"Provides phosphate to molecules, making them more reactive, lowering activation energy."
Water structure;"One oxygen atom joined to two hydrogens by shared electrons; water molecules are dipolar."
Useful properties of water;"1. Important metabolite; 2. Coolant with large latent heat; 3. Buffers temperature with high specific heat capacity; 4. Ice floats, insulating water below; 5. Good solvent; 6. Cohesive."
Inorganic ions;"Ions that don't contain carbon."
Cation;"Ion with positive charge."
Anion;"Ion with negative charge."
Four organic ions in the body;"H+ affects pH; Fe2+ binds oxygen in haemoglobin; Na+ needed for co transport and action potentials; PO43  needed for DNA, RNA, ATP synthesis and phosphorylation."
Iron ions in oxygen transport;"Iron ion in haemoglobin binds oxygen for transport in red blood cells."
Phosphate ions in energy;"Phosphate groups in ATP; breaking bonds releases energy."
Hydrogen ions and pH;"pH depends on hydrogen ion concentration; more H+ means lower pH (more acidic)."
Sodium ions in co transport;"Glucose or amino acids transported into cells alongside sodium ions."
Term;Explanation
Eukaryotic cell;"Cell that has a membrane bound nucleus and chromosomes. Has other membrane bound organelles, such as mitochondria and endoplasmic reticulum."
Examples of eukaryotic cells;"Animal cells, Plant cells, Fungi, Algae"
Example of prokaryotic cell;"Bacteria"
Cell surface membrane structure;"Membrane found on surface of animal cells and just inside the surface of other cells; made mainly of phospholipids and proteins."
Cell surface membrane function;"Regulates the movement of substances into and out of the cell. Has receptor molecules on it (allows it to respond to hormones)."
Nucleus structure;"Surrounded by nuclear envelope (double membrane with many pores). Contains chromosomes (linear DNA + histone proteins). Contains one or more nucleoli."
Nucleus function;"Contains genetic material (DNA), controls cell activities. Site of transcription. Pores allow movement of substances (e.g. mRNA). Nucleolus manufactures ribosomes."
Mitochondria structure;"Oval shaped with double membrane. Inner membrane folded to form cristae. Matrix contains enzymes involved in respiration. Contains mitochondrial DNA (circular)."
Mitochondria function;"Site of aerobic respiration where ATP is produced. Mitochondrial DNA allows synthesis of proteins & enzymes required for respiration."
Chloroplasts structure;"Small, flattened, found in plants and algae. Double membrane. Contains thylakoid membranes stacked as grana. Grana linked by lamellae. Thylakoids surrounded by stroma fluid. Contains circular chloroplast DNA."
Chloroplasts function;"Site of photosynthesis. Thylakoid membranes: light dependent reactions. Stroma: light independent reactions."
Golgi apparatus structure;"Fluid filled, membrane bound sacs. Vesicles often at edges."
Golgi apparatus function;"Modifies proteins (e.g. adding carbohydrate chains), packages proteins into vesicles, forms lysosomes, transports, modifies & stores lipids."
Lysosomes structure;"Vesicles containing hydrolytic enzymes."
Lysosomes function;"Hydrolyse pathogens and break down old organelles."
Ribosome structure;"Not membrane bound. Free in cytoplasm or attached to rough ER. Made of proteins and ribosomal RNA."
Ribosome function;"Site of protein synthesis."
Ribosome components;"Protein and ribosomal RNA."
Rough endoplasmic reticulum structure;"System of membrane bound sacs (cisternae) with ribosomes attached."
Rough endoplasmic reticulum function;"Protein synthesis and packaging into transport vesicles."
Smooth endoplasmic reticulum structure;"System of membrane bound sacs (cisternae) without ribosomes."
Smooth endoplasmic reticulum function;"Lipid and carbohydrate synthesis, storage, and transport."
Cell wall structure;"Rigid structure around plants, prokaryotic cells, and fungi. Made of cellulose (plants), murein (prokaryotes), or chitin (fungi)."
Cell wall function;"Supports cells and prevents shape change."
Cell vacuole structure;"Membrane bound organelle in plant cells containing cell sap. Membrane called tonoplast."
Cell vacuole function;"Maintains pressure inside plant cells, keeping cell rigid and preventing wilting."
Protein production and secretion;"Nucleus: transcription (mRNA). Ribosomes/RER: protein synthesis (translation). rER packages protein into vesicles for Golgi. Mitochondria: produce ATP. Golgi modifies proteins and repackages into secretory vesicles. Vesicles transport proteins to cell surface. Proteins released by exocytosis."
Organelles in plant cells but not animal cells;"Cell wall, cell vacuole, chloroplasts."
Differences fungal vs plant cells;"Fungal cell walls made of chitin, not cellulose. Fungal cells lack chloroplasts (no photosynthesis)."
Tissue;"Group of cells working together to perform a function."
Organ;"Group of different tissues coordinated to perform various functions."
Organ system;"Many organs working together for a function."
Small intestine epithelial cell specialisation;"Villi increase surface area. Microvilli further increase surface area. Many mitochondria provide energy for active transport of digested food."
Red blood cell adaptations;"Thin outer membrane for oxygen diffusion. Biconcave shape increases surface area. No nucleus allows max haemoglobin for oxygen transport."
Leaf cell adaptations;"Packed with chloroplasts. Regular shape allows close packing to absorb sunlight efficiently."
Neutrophil adaptations;"Many lysosomes with enzymes to destroy microbes. Lobed nucleus for flexibility."
Prokaryotic cell;"No nucleus or membrane bound organelles."
Plasmid;"Small, circular DNA separate from main DNA. Can be passed between prokaryotic cells."
Flagellum;"Long hair like structure that rotates to move prokaryotic cell."
Prokaryotic vs eukaryotic cells differences;"No membrane bound organelles, circular DNA, DNA free in cytoplasm, smaller ribosomes (70S), murein cell wall, DNA not associated with histones."
Prokaryotic cell wall structure and function;"Made of murein. Supports cell and prevents shape change."
Capsule function in prokaryotes;"Protects bacteria from immune system attack."
Example gene on plasmid;"Antibiotic resistance gene."
Prokaryotic cell replication;"Binary fission."
Prokaryotic cell division process;"DNA and plasmids replicate. Cell enlarges, DNA moves to poles. Cytoplasm divides, new cell walls form. Two daughter cells produced with one DNA copy each; plasmid number varies."
Bacteria growth calculation;"Bacteria at start x 2^(number of divisions)."
Why viruses acellular;"No cellular structure."
Why viruses non living;"Cannot replicate independently; no metabolism or respiration."
Virus replication process;"Attachment proteins bind host cell receptors. Viral nucleic acid enters cell. Nucleic acid replicated. Cell produces viral proteins. Virus assembled and released."
Virus host specificity;"Different viruses have different attachment proteins complementary to host cell receptors, so some infect only certain cell types."
Magnification;"How many times bigger the image is compared to the real object."
Resolution;"The minimum distance apart that two objects can be in order for them to be distinguished as two separate objects."
Why increasing magnification doesn't increase resolution;"Microscopes have a limit of resolution. Beyond this limit, increasing magnification results in larger but more blurred images."
Formula for calculating magnification;"Image size ÷ actual size (make sure to convert units before calculating)."
Why organelles appear different in images;"They can be viewed from different angles and at different depths."
Principles of a light microscope;"Uses light to observe whole cells/tissues. Uses lenses to focus."
Advantages of light microscope;"Can be used to view living cells. Natural colour or stain can be seen."
Disadvantages of light microscope;"Cannot see ultrastructure of a cell due to wavelength limit. Only nucleus clearly visible."
Organelles NOT identified by light microscope;"Lysosome, ribosomes, endoplasmic reticulum."
Organelles visible by light microscope;"Nucleus, possibly mitochondria (not in detail)."
Principles of SEM;"Uses electrons scattered by the surface contours."
Advantages of SEM;"3D image, surface view, can use on thick specimens."
Disadvantages of SEM;"Cannot use on living tissue (vacuum needed), expensive, lower resolution than TEM."
Principles of TEM;"Uses electrons focused by magnets, electrons pass through specimen."
Advantages of TEM;"High resolution; can see ultrastructure."
Disadvantages of TEM;"2D images, thin specimens only, vacuum needed, expensive, black & white images, complex prep."
Microscope with highest resolution;"TEM > SEM > LM"
Why electron microscopes have higher resolution;"Electrons have shorter wavelength than light."
Difference between TEM and SEM;"TEM: electrons pass through specimen. SEM: electrons bounce off surface."
Why SEM samples don't need to be thin;"Electrons do not penetrate specimen."
Why vacuum needed in electron microscopy;"Electrons absorbed by air molecules, preventing them reaching specimen."
Artefact in microscopy;"Structural detail from specimen processing, not natural (e.g. fingerprint, air bubble)."
Why more artefacts in electron microscopy;"More specimen preparation stages increase artefact chances."
How scientific community distinguished artefacts vs organelles;"Different preparation techniques; inconsistencies suggest artefact."
Tools needed to calculate cell size in light microscopy;"Eyepiece graticule (no units) and stage micrometer (with units)."
How to measure specimen part with light microscope;"Calibrate eyepiece graticule with stage micrometer, measure, take repeats, calculate mean."
How to prepare wet mount;"Drop of water on slide, thin specimen slice placed on water, cover slip lowered at angle, stain if needed."
Cell fractionation;"Cells broken up and organelles separated."
Homogenisation;"Breaking cells with homogeniser to release organelles."
Why filter homogenate;"Remove large debris and whole cells."
Ultracentrifugation;"Use centrifuge to separate organelles by density."
Solution for cell fractionation;"Ice cold (slow enzymes), buffered (pH stable), isotonic (prevent organelle damage)."
How to obtain chloroplast rich sample;"Store in ice cold isotonic buffered solution, homogenise, filter, centrifuge low speed (remove nuclei), centrifuge higher speed (chloroplast pellet)."
Organelles size order (heaviest first);"Nucleus, chloroplast, mitochondria, ER/Golgi/lysosomes, ribosomes."
Stage preceding mitosis;"Interphase   normal function, DNA replicated, organelles/proteins made."
Interphase stages;"G1 (organelles replicate, cell grows), S (DNA replicated), G2 (growth, energy stores, DNA check)."
Mitosis produces;"Two genetically identical diploid cells."
Significance of mitosis;"Growth, tissue repair, asexual reproduction."
Mitosis stages in order;"Prophase, Metaphase, Anaphase, Telophase."
Difference between chromosomes and chromatids;"Chromosome = 2 chromatids joined at centromere."
Prophase events;"Chromosomes condense, sister chromatids visible, nucleolus disappears, centrioles move, spindle forms, nuclear envelope breaks down."
Metaphase events;"Chromosomes line up at equator, attach to spindle via centromere."
Anaphase events;"Centromeres divide, chromatids pulled to poles, v shaped chromatids."
Telophase events;"Chromatids uncoil, nuclear envelope reforms, nucleolus forms."
Cytokinesis;"Cytoplasm divides, two genetically identical daughter cells formed."
Mitotic index meaning and formula;"Indicates tissue growth rate. Mitotic index = number of cells in mitosis / total cells."
Reasons for high mitotic index;"Tissue repair, cancer."
Chromosome number in mitosis;"Remains the same."
Evidence of mitosis;"Visible condensed chromosomes, chromatids present, no homologous pairs."
Tumour;"Mass of cells formed by uncontrolled division."
Role of cell surface membranes;"Partially permeable, control substance movement, contain receptors for recognition/signalling."
Role of membranes within cells;"Compartmentalisation, attachment sites, vesicle formation, selective permeability, sites of reactions."
Fluid mosaic model;"Phospholipid bilayer with hydrophilic heads, proteins scattered like mosaic, cholesterol adds rigidity, glycoproteins/glycolipids involved in signalling."
Effect of cholesterol on membrane;"Binds hydrophobic tails, reduces phospholipid movement, makes membrane less fluid, more rigid."
Role of glycoproteins and glycolipids;"Stabilise membrane via hydrogen bonds, binding sites for drugs/hormones, receptors, antigens."
Why molecules don't freely diffuse through membranes;"Not lipid soluble, too large, repelled by charge."
Factors affecting membrane permeability;"Temperature, solvent concentration."
Temperature effect on membrane permeability;"Below 0°C: ice crystals damage membrane; rising temp: phospholipids more kinetic energy; above ~45°C: proteins denature, membrane more permeable."
Effect of solvents on membranes;"Solvents dissolve membrane lipids, increasing permeability."
Substance movement across membranes;"Simple diffusion (small/non polar), facilitated diffusion (large/polar via proteins), osmosis (water), active transport (against gradient with ATP)."
Diffusion definition;"Net movement from high to low concentration until equilibrium."
Osmosis definition;"Water movement from higher to lower water potential across partially permeable membrane."
Active transport definition;"Movement from low to high concentration using ATP and carrier proteins."
Factors affecting diffusion rate;"Concentration gradient, surface area, thickness of exchange surface, temperature, molecule size."
Simple diffusion meaning;"Diffusion directly through membrane, passive."
Passive process meaning;"No energy required."
Why O2 and CO2 diffuse across membranes;"Small size, non polar, lipid soluble."
Effect of temperature on diffusion rate;"Higher temp increases molecular kinetic energy, increasing diffusion rate."
Active transport process;"Molecule binds carrier protein, protein changes shape, molecule transported against gradient, ATP hydrolysis provides energy."
Factors affecting active transport rate;"Carrier protein speed, number of carrier proteins, respiration rate and ATP availability."
Difference active transport vs facilitated diffusion;"Active transport uses ATP, moves against gradient, only carrier proteins; facilitated diffusion passive, down gradient, uses channel or carrier proteins."
Facilitated diffusion passive process; "No ATP is used in the process. The only energy used is the kinetic energy of the molecules."
Role of protein channels in facilitated diffusion; "Protein channels form pores/channels across the membrane, allowing water soluble ions to diffuse down their concentration gradient. Protein channels are selective and only allow the passage of specific ions."
Role of carrier proteins in facilitated diffusion; "Carrier proteins move large molecules across membranes, down their concentration gradient. When a molecule specific to the carrier protein binds (e.g. glucose), it causes the carrier protein to change shape and release the molecule on the opposite side of the membrane. No ATP is required, molecules move from higher to lower concentration using their kinetic energy."
Factors affecting rate of facilitated diffusion; "1. Concentration gradient: higher gradient increases diffusion rate until limited by protein availability. 2. Rate plateaus once all protein channels/carriers are in use."
Factors affecting rate of osmosis; "1. Water potential gradient. 2. Thickness of exchange surface. 3. Surface area of exchange surface."
Water potential of pure water; "Zero under standard conditions of pressure and temperature."
Isotonic solutions meaning; "They have the same water potential."
Water potential of distilled water vs cytoplasm; "Distilled water has zero water potential as it contains no solute. Cytoplasm contains solutes that reduce its water potential."
Property of cell surface membrane allowing osmosis; "Partially permeable membrane allows water molecules to pass but not solute molecules."
Similarities between osmosis and diffusion; "1. Both are passive and don't require ATP. 2. Both involve movement down a concentration gradient."
Differences between osmosis and facilitated diffusion; "1. Osmosis involves movement of water only. 2. Facilitated diffusion involves carrier proteins."
Why glucose cannot easily pass phospholipid bilayer; "Only lipid soluble substances diffuse easily. Water soluble substances like glucose diffuse very slowly."
Changes to increase glucose transport rate; "1. More proteins with pores spanning the bilayer. 2. Increase membrane surface area with microvilli."
Properties of drug for rapid cell entry; "1. Lipid soluble. 2. Small size."
Co transporter definition; "A carrier protein that binds two molecules simultaneously, using the concentration gradient of one molecule to move the other against its gradient."
Glucose absorption by co transport in ileum; "Sodium ions actively transported out by sodium potassium pump creating gradient; sodium ions diffuse in via sodium glucose co transporter proteins carrying glucose; glucose concentration increases inside cell; glucose diffuses into blood via facilitated diffusion."
Necessity of co transport for glucose absorption; "Glucose concentration in ileum is too low for passive diffusion into blood."
Ways to increase membrane transport rate; "1. Increase surface area. 2. Increase concentration gradient. 3. Increase protein channel/carrier density."
Cell adaptations for rapid exchange; "Large surface area (microvilli), many protein channels and carriers for facilitated diffusion, active transport, and co transport."
Pathogen definition; "Disease causing microorganism e.g. bacteria, virus, fungi."
How bacteria cause disease; "By producing toxins."
How viruses cause disease; "By dividing in cells and causing them to burst."
Antigen definition; "A foreign protein that triggers an immune response."
Antibody definition; "A protein specific to an antigen, secreted by plasma cells."
Immune system identification by antigens; "1. Pathogens 2. Cells from other organisms (e.g. transplants) 3. Abnormal body cells (cancerous/infected) 4. Toxins"
Phagocytosis process; "Pathogen releases chemicals attracting phagocyte; phagocyte binds and engulfs pathogen; pathogen contained in phagosome; phagosome fuses with lysosome; lysozymes break down pathogen; phagocyte presents pathogen’s antigens activating specific immune cells."
Cellular response to pathogen; "Helper T cell binds antigen on phagocyte; T cell activates and clones; clones stimulate B cells, phagocytosis, cytotoxic T cells, and form memory T cells."
Humoral response; "B cell antibody binds antigen; B cell presents antigen; helper T cell activates B cell (clonal selection); B cells divide into plasma and memory cells (clonal expansion); plasma cells secrete antibodies; memory cells allow rapid response upon reinfection."
Function of cytotoxic T cells; "Kill abnormal/infected cells by releasing perforin which creates holes in membranes causing cell death."
Antibody structure; "Variable region forms antigen binding sites; shape specific to antigen; hinge region allows flexibility; constant region binds receptors on cells; disulphide bonds hold chains together."
Why antibodies are specific; "Proteins have specific primary and tertiary structure; antigen binding site only complements one antigen; antibody forms complex with one antigen."
Incorrect to say body takes days to respond; "Immediate recognition and phagocytosis occur; delay is due to activation and proliferation of specific T and B cells and antibody production."
Secondary vs primary immune response; "Secondary is faster and stronger due to memory cells that recognize antigen and rapidly produce plasma cells and antibodies, often preventing symptoms."
Difference active vs passive immunity; "Active: immunity develops after infection or vaccination. Passive: immunity gained by receiving antibodies from another source."
Examples natural/artificial active immunity; "Natural: immunity after catching disease. Artificial: immunity after vaccination with dead/inactive pathogen."
Examples natural/artificial passive immunity; "Natural: baby receives antibodies via placenta/breast milk. Artificial: injection of antibodies from another individual (e.g. anti tetanus)."
Why flu can be caught more than once; "Flu virus shows antigenic variability changing surface antigens; memory cells from first infection do not recognize new strain; new primary immune response required."
Antigen variability definition; "Pathogens change surface antigens due to genetic changes."
Examples pathogens with antigenic variability; "Influenza, HIV."
Effect of antigen variability on disease/prevention; "People can be reinfected; memory cells fail to recognize new strains; new immune response needed; frequent vaccine updates required (e.g. flu); some diseases (HIV) hard to vaccinate against."
How vaccines develop immunity; "Vaccine contains pathogen antigen; macrophage presents antigen; T cell binds antigen; T cell activates B cell; B cells divide to plasma and memory cells; plasma cells secrete antibodies; memory cells enable rapid antibody production on re exposure."
Primary vs secondary immune response difference; "Primary: slower with lag, produces memory cells. Secondary: faster and stronger with rapid antibody production due to memory cells."
Herd immunity concept; "Vaccinated individuals protected; disease occurrence reduces; unvaccinated less likely to catch disease due to fewer carriers."
HIV structure; "RNA and reverse transcriptase enclosed by capsid; lipid envelope; attachment proteins for helper T cell binding."
HIV replication; "HIV attaches to helper T cells; RNA enters host; reverse transcriptase creates DNA copy; DNA inserts into host DNA; viral proteins made; viral particles assembled and released."
HIV effect on antibody production; "Less/no antibody produced as HIV destroys helper T cells which activate B cells."
HIV causes AIDS symptoms; "Destruction of helper T cells prevents antibody production; immune system fails to respond to pathogens causing illness/death."
HIV vs AIDS; "HIV is virus; AIDS is condition caused by HIV infection."
Latency period of HIV; "Period after initial infection with low HIV replication and no symptoms."
How HIV spreads; "Unprotected sex; infected bodily fluids (needles); mother to fetus."
Why antibiotics don't work on viruses; "Antibiotics target bacterial enzymes/ribosomes; viruses use host's, so antibiotics ineffective."
Ethical issues with vaccines; "Animal testing; possible long term side effects; debate on compulsory vaccination; cost of vaccination programs."
Monoclonal antibodies; "Antibodies with identical tertiary structure from cloned B cells."
Medical uses of monoclonal antibodies; "Deliver drugs to specific cells; block cell receptors."
Diagnostic uses of monoclonal antibodies; "Pregnancy tests; cancer tests; ELISA tests (e.g. HIV)."
Ethical issues with monoclonal antibodies; "Use of animals for production; risk of serious side effects."
Antibodies role in ELISA test; "First antibody binds antigen; wash to remove unbound antibody; second antibody with enzyme binds first; wash unbound second antibody; substrate added causes color change indicating positive."
Organisms need to exchange; "Oxygen, Carbon dioxide, Nutrients, Heat"
Single celled organisms surface exchange; "Have a large surface area to volume ratio; short diffusion distance; can meet metabolic demands by simple diffusion"
Why multicellular organisms can't exchange via surface; "Small surface area to volume ratio; large diffusion distance; higher metabolic rate; impermeable body surface; can't meet metabolic demands by diffusion"
Features of efficient gas exchange system; "Large surface area; thin for short diffusion distance; good blood supply & ventilation to maintain steep concentration gradient; selectively permeable"
Why small mammals need high metabolic rate; "Larger surface area:volume ratio; lose heat easily; need high metabolic rate to generate heat to maintain body temperature"
Gills structure for efficient gas exchange; "Many gill filaments provide large surface area; gill lamellae increase surface area; thin walls for short diffusion; ventilation maintains concentration gradient; countercurrent flow maximises oxygen diffusion"
Countercurrent flow advantage; "Water and blood flow in opposite directions; maintains diffusion gradient along gill; maximises oxygen uptake"
Differences in gills of fast vs slow fish; "Fast fish have more gill lamellae and filaments; larger surface area for gas exchange"
Why insects need specialised gas exchange; "Multicellular with small surface area:volume ratio; impermeable exoskeleton; high oxygen demand; require tracheal system"
Tracheal system adaptations; "Many branched tracheoles for large surface area and short diffusion distance; thin, permeable walls; tracheal fluid moves out during exercise exposing more surface; tracheae air tubes for fast diffusion"
Gas exchange in insects process; "Oxygen diffuses down tracheae and tracheoles; dissolves in tracheal fluid; water moves out during activity increasing surface area; abdominal pumping moves air in/out spiracles"
Why insects can’t exchange gas over body surface; "Impermeable exoskeleton; high oxygen demand not met by diffusion alone"
Dicotyledonous plant gas exchange; "Thin leaves for short diffusion distance; many stomata for large surface area; spongy mesophyll air spaces allow gas diffusion; diffusion in gas phase"
Insect adaptations to reduce water loss; "Close spiracles; tiny hairs trap moist air; waterproof body covering"
Plant adaptations to reduce water loss; "Sunken stomata & hairs trap moist air; curled leaves protect stomata; fewer stomata; waxy cuticle; reduced leaf surface area"
Similarities of gas exchange in plants and insects; "No cell far from air; diffusion in gas phase; avoid water loss; control pore opening/closing"
Differences of gas exchange in plants and insects; "Insects create mass air flow; smaller surface area:volume ratio; insects have tracheae; plants interchange gases during photosynthesis"
Advantage of stomata control; "Helps control water loss by evaporation"
Why desert plants have sunken stomata; "Traps moist air; reduces water concentration gradient and water loss"
Why water lost from gas exchange surfaces; "Surfaces permeable to small molecules; higher water concentration inside; water diffuses out by evaporation"
Low water loss rate in insects; "Close spiracles; sunken spiracles with hairs trap moist air; waterproof cuticle; internal tracheoles limit exposure"
Similarity of spiracle and stomata in limiting water loss; "Waxy cuticle prevents evaporation; hairs trap moist air; sunken openings trap moist air; can close to reduce evaporation"
Oxygen transport difference insect vs fish; "Insects do not use blood to transport respiratory gases"
Oxygen reaches lung capillaries; "Air moves through trachea, bronchi, bronchioles down pressure gradient; diffuses across alveolar epithelium and capillary endothelium"
Mammalian respiratory system efficiency; "Many folded alveoli for large surface area; alveolar epithelium one cell thick; many capillaries maintain gradient; capillary endothelium thin; wide trachea; cartilage rings keep airways open; muscles ventilate lungs"
Alveolus gas exchange adaptation; "Alveolar epithelium one cell thick for short diffusion distance"
Inspiration process; "Active process; external intercostal muscles contract; diaphragm contracts and flattens; rib cage moves up/out; thoracic cavity volume increases; pressure decreases; air flows in"
